N symbol name m Rcovalent Rvdw Tm Tb structure a b c alpha beta gamma cpk
57 La lanthanum 138.90547 2.07 nodata 1193 3743 hcp 3.77 3.77 12.14 90 90 120 70d4ff
58 Ce cerium 140.116 2.04 nodata 1068 3633 hcp 3.62 3.62 5.99 90 90 120 ffffc7
59 Pr praseodymium 140.90765 2.03 nodata 1208 3563 hcp 3.67 3.67 11.83 90 90 120 d9ffc7
60 Nd neodymium 144.242 2.01 nodata 1297 3373 hcp 3.65 3.65 11.79 90 90 120 c7ffc7
61 Pm promethium 145 1.99 nodata 1373 3273 nodata 0 0 0 nodata nodata nodata a3ffc7
62 Sm samarium 150.36 1.98 nodata 1345 2076 trigonal 3.62 3.62 26.25 90 90 120 8fffc7
63 Eu europium 151.964 1.98 nodata 1099 1800 bcc 4.58 4.58 4.58 90 90 90 61ffc7
64 Gd gadolinium 157.25 1.96 nodata 1585 3523 hcp 3.63 3.63 5.78 90 90 120 45ffc7
65 Tb terbium 158.92535 1.94 nodata 1629 3503 hcp 3.6 3.6 5.69 90 90 120 30ffc7
66 Dy dysprosium 162.500 1.92 nodata 1680 2840 hcp 3.59 3.59 5.65 90 90 120 1fffc7
67 Ho holmium 164.93032 1.92 nodata 1734 2993 hcp 3.57 3.57 5.61 90 90 120 00ff9c
68 Er erbium 167.259 1.89 nodata 1802 3141 hcp 3.55 3.55 5.58 90 90 120 00e675
69 Tm thulium 168.93421 1.9 nodata 1818 2223 hcp 3.53 3.53 5.55 90 90 120 00d452
70 Yb ytterbium 173.054 1.87 nodata 1097 1469 ccp 5.48 5.48 5.48 90 90 90 00bf38
71 Lu lutetium 174.9668 1.87 nodata 1925 3675 hcp 3.5 3.5 5.55 90 90 120 00ab24
72 Hf hafnium 178.49 1.75 nodata 2506 4876 hcp 3.19 3.19 5.05 90 90 120 4dc2ff
73 Ta tantalum 180.94788 1.7 nodata 3290 5731 bcc 3.3 3.3 3.3 90 90 90 4da6ff
74 W tungsten 183.84 1.62 nodata 3695 5828 bcc 3.16 3.16 3.16 90 90 90 2194d6
75 Re rhenium 186.207 1.51 nodata 3459 5869 hcp 2.76 2.76 4.45 90 90 120 267dab
76 Os osmium 190.23 1.44 nodata 3306 5285 hcp 2.73 2.73 4.31 90 90 120 266696
77 Ir iridium 192.217 1.41 nodata 2739 4701 ccp 3.83 3.83 3.83 90 90 90 175487
78 Pt platinum 195.084 1.36 1.75 2041.4 4098 ccp 3.92 3.92 3.92 90 90 90 d0d0e0
79 Au gold 196.966569 1.36 1.66 1337.33 3129 ccp 4.07 4.07 4.07 90 90 90 ffd123
80 Hg mercury 200.59 1.32 1.55 234.32 629.88 rhombohedral 3 3 3 70 70 70 b8b8d0
81 Tl thallium 204.3833 1.45 1.96 577 1746 hcp 3.45 3.45 5.52 90 90 120 a6544d
82 Pb lead 207.2 1.46 2.02 600.61 2022 ccp 4.95 4.95 4.95 90 90 90 575961
83 Bi bismuth 208.98040 1.48 nodata 544.4 1837 monoclinic 6.67 6.11 3.3 90 110 90 9e4fb5
